Game_ID,Usuario,Rating_Usuario,Apertura,Color,Fin_Teoria,ACL_Post_Teo,Victoria,Accuracy,acl_winsorized,accuracy_game,AccAjustada,teoria_norm,game_prep_score,game_risk_index,is_theory_expert,is_feeling_natural,is_critical_point,color_bin,win_rate_user,avg_teoria_user,avg_acl_user,std_acl_user,n_games_user,accuracy_user,consistency_score,delta_acl_vs_user,nivel_3class,nivel_num
63Q1eTtW,tecojoytetruqueo,2360,Sicilian Defense,Blancas,8,,1.0,100.0,,100.0,92.0,0.5333333333333333,0.5333,0.0,0,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
fEGS4Hjs,tecojoytetruqueo,2360,King's Indian Defense,Blancas,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
7olTOWXb,tecojoytetruqueo,2360,Pirc Defense,Negras,12,,1.0,100.0,,100.0,88.0,0.8,0.8,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
XuR52Vts,tecojoytetruqueo,2360,Caro-Kann Defense,Blancas,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
2IJOxkwu,tecojoytetruqueo,2360,French Defense,Negras,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
lVsaA6lK,tecojoytetruqueo,2360,Horwitz Defense,Negras,12,,1.0,100.0,,100.0,88.0,0.8,0.8,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
Q3S2xwSI,tecojoytetruqueo,2360,Dutch Defense,Blancas,9,,0.0,100.0,,100.0,91.0,0.6,0.6,0.0,0,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
AHhaGJJn,tecojoytetruqueo,2360,French Defense,Negras,13,,1.0,100.0,,100.0,87.0,0.8666666666666667,0.8667,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
HhyK0qQt,tecojoytetruqueo,2360,Queen's Pawn Game,Blancas,9,,1.0,100.0,,100.0,91.0,0.6,0.6,0.0,0,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
JjJutIj9,tecojoytetruqueo,2360,French Defense,Negras,5,,1.0,100.0,,100.0,95.0,0.3333333333333333,0.3333,0.0,0,1,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
JWC0Zsof,tecojoytetruqueo,2360,Sicilian Defense,Blancas,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
A8xpzamk,tecojoytetruqueo,2360,French Defense,Negras,13,,1.0,100.0,,100.0,87.0,0.8666666666666667,0.8667,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
CQPDzIiU,tecojoytetruqueo,2360,English Defense,Negras,11,,1.0,100.0,,100.0,89.0,0.7333333333333333,0.7333,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
pHEwgJtb,tecojoytetruqueo,2360,Queen's Gambit Declined,Blancas,12,,1.0,100.0,,100.0,88.0,0.8,0.8,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
7ucqsiZC,tecojoytetruqueo,2360,French Defense,Negras,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
2fbpIByH,tecojoytetruqueo,2360,Sicilian Defense,Blancas,15,,0.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
scmSvDLQ,tecojoytetruqueo,2360,Indian Defense,Blancas,11,,0.0,100.0,,100.0,89.0,0.7333333333333333,0.7333,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
ZT0lASrR,tecojoytetruqueo,2360,French Defense,Blancas,11,,1.0,100.0,,100.0,89.0,0.7333333333333333,0.7333,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
1X246Cqk,tecojoytetruqueo,2360,Nimzo-Larsen Attack,Negras,11,,1.0,100.0,,100.0,89.0,0.7333333333333333,0.7333,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
o0sHn8vb,tecojoytetruqueo,2360,Polish Opening,Negras,7,,0.0,100.0,,100.0,93.0,0.4666666666666667,0.4667,0.0,0,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
8RevcF2u,tecojoytetruqueo,2360,Sicilian Defense,Blancas,5,,1.0,100.0,,100.0,95.0,0.3333333333333333,0.3333,0.0,0,1,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
wu3y6VFL,tecojoytetruqueo,2360,English Opening,Blancas,14,,1.0,100.0,,100.0,86.0,0.9333333333333333,0.9333,0.0,1,0,0,1,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
BFycFofI,tecojoytetruqueo,2360,French Defense,Negras,6,,0.0,100.0,,100.0,94.0,0.4,0.4,0.0,0,1,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
ywSBFpJ1,tecojoytetruqueo,2360,English Defense,Negras,15,,1.0,100.0,,100.0,85.0,1.0,1.0,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
2y9zzW4H,tecojoytetruqueo,2360,Modern Defense,Negras,11,,1.0,100.0,,100.0,89.0,0.7333333333333333,0.7333,0.0,1,0,0,0,0.5833333333333334,11.104761904761904,118.84,101.14858377654133,210,98.54495238095238,0.14886752124124714,,avanzado,0.744
