resource_id,source,title,url,resource_type,format,course_type,openings,color,author,author_title,level_min,level_max,level_tier,duration_min,price_eur,is_free,has_video,has_pgn,has_exercises,has_spaced_rep,rating_score,views_yt,pub_date,description,level_tier_original,level_tier_source,level_tier_new
mc__attacking_1_d4_repertoire_for_white_with,modern_chess,Attacking 1.d4 Repertoire for White with IM Robert Ris,https://www.modern-chess.com/course/attacking-1-d4-repertoire-for-white-with-im-robert-ris/94463/,course,video,opening,1.d4,White,Modern Chess Team,,1200.0,3000.0,intermediate,630.0,,0,1,1.0,0.0,0.0,,,,"Over 10.5 hours of high-quality video training, jampacked into 36 chapters… Robert goes over ALL the main lines of the 1.d4 opening, starting from the complicated KID to the fearsome Nimzo-Indian to the mysterious Tarrasch.",intermediate,fallback_lmin,intermediate
mc__1_nf3_d5_2_g3_nc6_practical_solution_for,modern_chess,1.Nf3 d5 2.g3 Nc6 - Practical Solution for Black,https://www.modern-chess.com/course/1-nf3-d5-2-g3-nc6-practical-solution-for-black/54430/,course,video,opening,Reti Opening|1.Nf3,Black,GMMihail Marin,GM,1200.0,3000.0,intermediate,,,0,1,1.0,1.0,1.0,,,,"The Reti move order (1.Nf3 d5 2.g3) can be quite irritating, depending on the repertoire of the player with Black. In most lines, it is almost impossible to force White to deviate from his flexible setup, based on a later d2-d3 and an attack against the centre with either c2-c4 or e2-e4.Things would",intermediate,fallback_lmin,intermediate
mc__understand_the_nimzo_indian_defense,modern_chess,Understand the Nimzo-Indian Defense,https://www.modern-chess.com/course/understand-the-nimzo-indian-defense/14397/,course,video,opening,Nimzo-Indian Defense|1.d4,Both,"GMBoris Avrukh, GMGrigor Grigorov, GMMichael Roiz, GMMihail Marin, GMPetar G. Arnaudov",GM,2300.0,3000.0,expert,480.0,,0,1,1.0,1.0,0.0,,,,"September 28, 2021Nimzo-Indian Defense1.d4",expert,range_only,expert
mc__understand_the_caro_kann,modern_chess,Understand the Caro-Kann,https://www.modern-chess.com/course/understand-the-caro-kann/74298/,course,video,opening,Caro-Kann Defense|1.e4,Both,GMDejan Bojkov,GM,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,0.0,,,,"In this video course, GM Dejan Bojkov presents the most important tactical and positional ideas in Caro-Kann Defence. Each one of the 20 video lessons is supported by a PGN version with extensive annotations.Regardless of whether you play the Caro-Kann Defence with White or Black, this video course ",intermediate,fallback_lmin,intermediate
mc__understand_the_bogo_indian,modern_chess,Understand the Bogo-Indian,https://www.modern-chess.com/course/understand-the-bogo-indian/34265/,course,video,opening,Bogo-Indian Defense|1.d4,Both,GMIoannis Papaioannou,GM,2300.0,3000.0,expert,270.0,,0,1,1.0,0.0,0.0,,,,"The masterclass of GM Papaioannou - Understand the Bogo-Indian is already a digital product.This product includes all the videos from the masterclass as well as the PGN file related to the training sessions. Overall, the material consists of approximately 4.5 hours of video and a PGN database which ",expert,range_only,expert
mc__1_d4_d5_2_c4_e6_3_nc3_c5_complete_repert,modern_chess,1.d4 d5 2.c4 e6 3.Nc3 c5 - Complete Repertoire for Black,https://www.modern-chess.com/course/1-d4-d5-2-c4-e6-3-nc3-c5-complete-repertoire-for-black/84232/,course,video,opening,Tarrasch Defense|1.d4,Black,GMPavel Eljanov,GM,1200.0,3000.0,intermediate,,,0,1,1.0,1.0,1.0,,,,"We are happy to present the newest opening research by GM Pavel Eljanov. This time, he provides a complete repertoire for Black after 1.d4 d5 2.c4 e6 3.Nc3 c5Actually, the idea of the database is not to provide another Tarrasch repertoire. The cornerstone of the current survey is the position arisin",intermediate,fallback_lmin,intermediate
mc__play_the_accelerated_dragon_maroczy_bind,modern_chess,Play the Accelerated Dragon - Maroczy Bind,https://www.modern-chess.com/course/play-the-accelerated-dragon-maroczy-bind/44199/,course,interactive,opening,Sicilian Defense|1.e4,Both,GMMartin Lorenzini,GM,2300.0,3000.0,expert,,,0,0,1.0,1.0,1.0,,,,"We are happy to present the database Play the Accelerated Dragon - Maroczy Bind. This course has been created by two grandmasters - GM Martin Lorenzini and GM Salvador Alonso. In the second part of their project, they will cover the remaining systems for White (other than Maroczy Bind), thus complet",expert,range_only,expert
mc__semi_tarrasch_endgame_line,modern_chess,Semi-Tarrasch Endgame Line,https://www.modern-chess.com/course/semi-tarrasch-endgame-line/54133/,course,video,opening,Semi-Tarrasch Defense|1.d4,Both,GMSwapnil Dhopade,GM,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,1.0,,,,"We are happy to present the newest database by GM Swapnil Dhopade - Semi-Tarrasch  Endgame Line. In this project, GM Dhopade provides a complete repertoire for Black after 1.d4 Nf6 2.c4 e6 3.Nf3 d5 4.Nc3 c5. While the database is based on the endgame arising after 5.cxd5 cxd4 6.Qxd4 exd5 7.e4 dxe4, ",intermediate,fallback_lmin,intermediate
mc__play_the_moscow_variation,modern_chess,Play the Moscow Variation,https://www.modern-chess.com/course/play-the-moscow-variation/14100/,course,video,opening,Slav Defense|1.d4,Both,GMRenato Quintiliano,GM,1200.0,3000.0,intermediate,,,0,1,1.0,1.0,1.0,,,,"The database is divided into 2 parts - Moscow Variation and Anti-Moscow Gambit. The database includes the following components: Typical Pawn Structures, 15 Theoretical Chapters, 36 Interactive Test Positions, 4 Hours Video Running Time, and Memory Booster.",intermediate,fallback_lmin,intermediate
mc__modern_repertoire_against_the_benoni,modern_chess,Modern Repertoire against the Benoni,https://www.modern-chess.com/course/modern-repertoire-against-the-benoni/64067/,course,video,opening,Modern Benoni Defense|1.d4,Both,GMBoris Avrukh,GM,1200.0,3000.0,intermediate,,,0,1,1.0,0.0,1.0,,,,"In the current database, GM Boris Avrukh provides a complete solution against the Modern Benoni.The starting position of the survey arises after 1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.h3 Bg7 8.Nf3 0-0 9.Be3In the introduction to this survey, GM Avrukh states:Inspired by the recent g",intermediate,fallback_lmin,intermediate
